Language,_id,rater_answer,a_domain,a_register,b_domain,b_register,difficulty,familiarity,question_,section,wordphrase_a,wordphrase_a_translation,wordphrase_b,wordphrase_b_translation,_unit_id,_created_at,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,Answer,Score,Grouping,Market
Russian,5868438509,no,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 02:58:58,2020-12-24 02:57:47,False,cf_internal,1.0,45722210,RUS,54.0,Omsk,92.124.162.168,yes,0,Pilot 2,RU-RU
Russian,5868479172,no,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 04:25:17,2020-12-24 04:25:09,False,cf_internal,0.9875,46304920,RUS,71.0,,31.173.100.243,yes,0,Pilot 2,RU-RU
Russian,5868487514,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 04:43:42,2020-12-24 04:43:07,False,cf_internal,0.975,45696604,RUS,13.0,Chelyabinsk,77.222.118.189,yes,1,Pilot 2,RU-RU
Russian,5868489511,no,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 04:48:46,2020-12-24 04:48:32,False,cf_internal,0.9875,45683996,RUS,53.0,Novosibirsk,37.192.137.17,yes,0,Pilot 2,RU-RU
Russian,5868498464,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 05:07:03,2020-12-24 05:06:26,False,cf_internal,0.9851000000000001,46294574,RUS,71.0,Yekaterinburg,176.59.212.252,yes,1,Pilot 2,RU-RU
Russian,5868504722,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 05:13:06,2020-12-24 05:12:42,False,cf_internal,0.9851000000000001,45671891,RUS,54.0,Omsk,188.232.168.144,yes,1,Pilot 2,RU-RU
Russian,5868507752,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 05:15:31,2020-12-24 05:14:57,False,cf_internal,0.95,46304962,RUS,8.0,Ufa,37.112.153.118,yes,1,Pilot 2,RU-RU
Russian,5868525119,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 05:31:13,2020-12-24 05:30:38,False,cf_internal,0.9823000000000001,46246507,RUS,40.0,Kurgan,109.195.129.117,yes,1,Pilot 2,RU-RU
Russian,5868528996,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 05:37:29,2020-12-24 05:37:23,False,cf_internal,0.9450000000000001,45816640,RUS,,,81.176.229.138,yes,1,Pilot 2,RU-RU
Russian,5868533907,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 05:47:18,2020-12-24 05:47:00,False,cf_internal,0.9825,29763429,RUS,53.0,Novosibirsk,176.51.229.157,yes,1,Pilot 2,RU-RU
Russian,5868541243,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 06:02:38,2020-12-24 06:02:25,False,cf_internal,0.9591000000000001,45863236,RUS,55.0,Orenburg,95.105.125.29,yes,1,Pilot 2,RU-RU
Russian,5868558030,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 06:24:39,2020-12-24 06:23:41,False,cf_internal,0.9808,46305030,RUS,71.0,Yekaterinburg,5.165.3.193,yes,1,Pilot 2,RU-RU
Russian,5868561812,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 06:27:21,2020-12-24 06:26:57,False,cf_internal,0.9446,46305032,RUS,73.0,Kazan,178.204.47.81,yes,1,Pilot 2,RU-RU
Russian,5868578177,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 06:34:42,2020-12-24 06:33:42,False,cf_internal,0.9607,45815879,RUS,29.0,Prokop'yevsk,2.62.46.20,yes,1,Pilot 2,RU-RU
Russian,5868635751,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 06:57:13,2020-12-24 06:56:05,False,cf_internal,0.95,46305065,RUS,86.0,Voronezh,217.118.95.74,yes,1,Pilot 2,RU-RU
Russian,5868782837,no,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 07:52:22,2020-12-24 07:50:28,False,cf_internal,0.9063,46259873,RUS,42.0,Sosnovy Bor,91.203.169.206,yes,0,Pilot 2,RU-RU
Russian,5868810040,no,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 08:02:27,2020-12-24 08:02:18,False,cf_internal,0.9512,45690890,RUS,47.0,Stupino,31.185.5.171,yes,0,Pilot 2,RU-RU
Russian,5868817806,no,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 08:05:11,2020-12-24 08:04:36,False,cf_internal,0.9480000000000001,46305120,RUS,,,185.204.0.115,yes,0,Pilot 2,RU-RU
Russian,5868824846,yes,science,technical,science,technical,easy,unfamiliar,1,Exact Match,вещество,substance,материя,material,2915682027,2020-12-24 08:07:42,2020-12-24 08:06:44,False,cf_internal,0.9536,46305124,RUS,38.0,Krasnodar,178.155.4.122,yes,1,Pilot 2,RU-RU
