Language,_id,rater_answer,a_domain,a_register,b_domain,b_register,difficulty,familiarity,question_,section,wordphrase_a,wordphrase_a_translation,wordphrase_b,wordphrase_b_translation,_unit_id,_created_at,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,Answer,Alternate Answer,Score,Answers,Grouping,Market
Turkish,5902331505,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-20 23:52:37,2021-01-20 23:52:32,False,cf_internal,0.9667,46347584,TUR,16.0,Bursa,95.10.180.113,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902341500,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-20 23:59:15,2021-01-20 23:59:08,False,cf_internal,0.9502,46347598,TUR,34.0,Istanbul,176.88.137.60,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902345264,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 00:01:56,2021-01-21 00:01:48,False,cf_internal,0.9423,46347597,TUR,68.0,Ankara,85.98.147.46,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902349234,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 00:04:20,2021-01-21 00:04:13,False,cf_internal,0.923,45846777,TUR,7.0,Antalya,176.232.59.190,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902352948,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 00:07:05,2021-01-21 00:06:49,False,cf_internal,0.9056000000000001,46347616,TUR,34.0,Istanbul,24.133.140.60,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902353190,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 00:07:16,2021-01-21 00:06:25,False,cf_internal,0.95,46347594,TUR,17.0,Çanakkale,78.190.238.224,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902358835,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 00:09:49,2021-01-21 00:09:24,False,cf_internal,0.9422,45488677,TUR,52.0,Ordu,78.190.48.45,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902371063,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 00:18:19,2021-01-21 00:17:21,False,cf_internal,0.9596,46304593,TUR,34.0,Istanbul,159.146.40.190,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902395320,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 00:45:53,2021-01-21 00:45:38,False,cf_internal,0.9274,45816674,TUR,34.0,Istanbul,188.119.40.17,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902400424,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 00:54:06,2021-01-21 00:54:02,False,cf_internal,0.9075000000000001,45815702,TUR,61.0,Trabzon,78.163.116.29,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902408005,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 01:08:08,2021-01-21 01:07:59,False,cf_internal,0.9367000000000001,45488822,TUR,35.0,Izmir,212.133.237.74,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902408927,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 01:09:31,2021-01-21 01:09:15,False,cf_internal,0.9212,46272333,TUR,68.0,Ankara,94.54.18.90,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
Turkish,5902412797,a_and_b_have_the_same_meaning,time,formal,time,neutral,easy,familiar,1,Close Match,yıl,year,sene,year,2936097234,2021-01-21 01:15:12,2021-01-21 01:14:59,False,cf_internal,0.9313,45840527,TUR,68.0,Ankara,92.45.175.164,a_and_b_have_the_same_meaning,0,1,a_and_b_have_the_same_meaning;0,3A,TR-TR
